token,amount,start,end,owner,newowner,duration
577,104,1672227947,1798070400,0xe87f7d66607bab70fc30812177eddd85725a2925,,1457
578,123,1672228799,1798070400,0x90366c6f59b2db217e638dfd4cb04d8142e2fc3a,,1457
579,103,1672250663,1798070400,0x7e1bcf2a18d210c317957b4b4dfb92834066340d,,1456
584,102,1672500683,1798070400,0x3ea70316d050b4d20c050cc73299222e2e7f2af2,,1453
587,100,1672987007,1798675200,0x0dd44846a3cc5b4d82dcd29d78d7291112608f0c,,1455
591,198,1674101567,1799884800,0x5a39d5f00c0a0f25cf866ae1524b429d0ee0769d,,1456
592,1039,1674125795,1799884800,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1456
593,1500,1674322943,1799884800,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1453
594,25000,1674496595,1800489600,0xdfa8a5ab3f157373eeb4e8c2762e26f5b6a04395,,1458
596,25000,1674536675,1800489600,0x1b39db8c6a1f8b4182a292e5126a6fc785dce070,,1458
597,105,1674624191,1800489600,0x6b9a5a31af69c6c704a9b705e4eff0d7a0a2e20e,,1457
598,105,1674635627,1800489600,0x70e4b21f061a41f8dfbb9786b70ff0aa0834c2be,,1457
599,1200,1674829703,1800489600,0x2cafe9cba9da5a49e3ff28eb63958c2583cd552a,,1454
600,1960,1674831155,1800489600,0xfe9e9f6896c7a8f4e63dce153aa64ee01eeaba7c,,1454
601,152,1674842147,1800489600,0x77cd66d59ac48a0e7ce54ff16d9235a5ffff335e,,1454
602,122,1674933371,1800489600,0xcf015336fab19facb207a21bdf0828766db1e113,,1453
603,103,1674988343,1801094400,0xb6dcddfb71a65d697248c37c8828fb010a8b5afa,,1460
604,104,1675027019,1801094400,0x33d1c806c1ce8258553581f30687a15ffc6d145d,,1459
605,148,1675250819,1801094400,0x2e739d0a09072e2ea3fb071e6ce6b086021590bd,,1457
606,205,1675255379,1801094400,0x6eed6137fb4c54013b96c2956b3ce2dcf582fa64,,1456
607,114,1675409039,1801094400,0xc800b3efe34f5a095abb46f7f6c2ef2169926048,,1455
608,131,1675450547,1801094400,0xc082f9b3741aaf5ac13f2e1e349e9d0ad022e335,,1454
609,125,1675487219,1801094400,0xac4a1c8c3633d1ac61b976236d33d781775cad17,,1454
610,110,1675670543,1801699200,0x7ed71581fcde4e8f11952b73ccebebca15eab6dd,,1459
611,1558,1675771703,1735171200,0xa94efd84d0e30c327119460d6f028d2ea91b654d,,687
612,10451,1675789523,1801699200,0xf4383782e47a87560b19ce13c4aae796a19c7623,,1457
613,1300,1675943255,1801699200,0xdfa8a5ab3f157373eeb4e8c2762e26f5b6a04395,,1456
